Fuel_Level_Percentage,Vehicle_Load_kg,Speed_kmph,Temperature_C,Route_Type,distance
39.05,642.1,67.2,27,Urban,172.03
16.01,2946.2,44.8,25,Rural,9.71
86.99,1971.1,61.8,39.1,Urban,192.03
64.21,1892.4,50.4,42.7,Urban,105.32
36.44,2139.5,34.5,37.8,Highway,65.24
11.04,1742.6,67.8,28.2,Highway,33.38
,580.2,25.1,30.1,Rural,82.01
35.89,2030.8,51.5,,Urban,64.54
74.31,2290.4,32.5,37.4,Urban,37.24
65.57,1541.9,24,32.9,Urban,73.86
89.29,2393.2,50.2,42.1,Urban,86.31
49.86,1067.5,50,21,Highway,235.32
16.36,1053.2,62.4,37.8,Urban,64.4
72.76,903.5,64.7,35.5,Urban,275.07
77.27,1430,63.7,23,Urban,245.14
58.32,2617.5,44.6,35,Highway,80.74
78.24,2569.8,57.9,42.7,Urban,82.52
51.91,1457.1,54.6,42.6,Highway,200.4
54.66,1972.8,45.3,36.6,Urban,71.56
,2302,55.8,16.4,Urban,80.93
7.41,1103,76.8,41.2,Rural,26.63
15.25,920.4,31.6,34.7,Urban,10.79
7.99,2930.2,74.3,24.3,Highway,23.91
65.46,2043.9,23.2,20.6,Highway,83.72
34.86,2953.5,38.5,18.5,Highway,29.28
53.31,1344.4,37.3,16.5,Highway,169.96
91.22,2257.6,57.6,37.6,Highway,230.53
28.68,1056.5,27.9,22.1,Highway,80.48
43.99,1153,72.9,15.7,Urban,177.15
76.78,1779.8,69.7,26.9,Urban,242.2
26.74,1299,59.1,29.5,Rural,105.62
12.31,919.1,47.5,20.1,Rural,43.21
32.53,1157.2,76,16.3,Urban,137.84
20.32,589.4,69.8,20.7,Urban,100.85
93.32,2261.1,50,35.4,Urban,128.12
81.77,1730.3,62.1,17.5,Highway,362.28
65.17,735.6,54,31.7,Urban,210.09
87.79,929.2,55.3,19.4,Highway,476.69
81.35,756.3,39.9,20.9,Rural,267.98
22.72,2031.5,,26.8,Rural,64.11
89.79,735.5,24.7,18,Urban,147.7
,2385.7,41.4,20.2,Rural,68.62
81.71,551.3,61.7,25.5,Highway,615.08
90.13,1123.4,77.2,,Urban,412.72
35.21,2726.7,77.8,37.5,Urban,24.25
,2296.3,53.3,17.2,Highway,39.96
26.65,682.4,56.4,40.8,Rural,107.09
45.58,2552.8,31.1,39.5,Urban,35.77
,1732.6,61.7,38,Urban,184.7
86.77,2617,24.2,24.3,Urban,48.22
5.66,2001.8,,39.7,Rural,21.89
53.52,2204.6,60.1,20.5,Rural,142.39
44.65,2983.8,38.6,18.7,Urban,25.91
26.1,1080.8,23,16.3,Urban,32.33
16.39,2059.9,69.9,43.2,Rural,29.99
37.07,1650.8,38.6,24.2,Highway,104.98
94.58,598.6,23.8,42.5,Rural,177.34
35.7,536.2,24.5,23.2,Rural,81.88
54.29,798.1,35.1,42.2,Urban,91.24
71.79,2122.7,30.7,42.1,Highway,109.2
39.54,1917.9,66.5,42.7,Urban,73.78
97.32,1883.6,39.3,29.9,Rural,211.44
96.43,579.6,68.3,41,Highway,674.68
28.92,1673.3,30.4,43.5,Rural,53.42
52.24,2811.6,49.6,24.7,Rural,68.86
33.58,1494,61.3,27.6,Urban,121.33
32.06,2062.3,59.1,36.6,Urban,62.02
8.5,2449.5,56.1,,Urban,8.5
62.91,2459.8,75.5,37.6,Rural,140.23
52.75,1798.2,33.7,17.2,Rural,107.94
9.89,2644.9,49.6,30.7,Rural,-0.02
31.47,1478.4,73,,Highway,172.54
91.29,2721.7,24.7,23.8,Urban,45.72
27.76,1100.6,23.4,22.8,Urban,36.58
18.77,1200.5,34,40.2,Urban,40.79
51.5,632.8,58,20.8,Highway,328.47
98.64,2489,35.6,39.3,Rural,100.75
28,1542.6,31.4,38.8,Urban,35.22
68.85,1072.8,47.5,30,Rural,240.64
77.35,1079.5,56.8,22,Urban,266.67
27.58,2753.5,34.9,21.8,Urban,16.47
74.18,2584.8,38,28.9,Highway,101.96
39.94,1883.8,56.8,15.3,Urban,74.52
65.07,2040.3,76.7,30.9,Rural,224.81
65.19,1685.8,60.5,43.6,Urban,135.39
55.9,1479.2,67,19.6,Urban,187.63
13.58,2788.7,42,32.2,Rural,22.88
,814,36.3,43.9,Rural,239.13
35.47,1546.1,47.3,40.8,Highway,119.35
22.72,1361.4,68.4,40.5,Urban,66.82
8.87,1745.4,47.4,39.7,Urban,11.04
61.13,1644.1,70.8,24.3,Urban,204.31
69.37,1797.2,79.3,41.7,Urban,197.08
6.58,849.8,24.3,43.2,Rural,9.81
53.65,1782.9,22.7,29.9,Urban,47.1
26.52,1106,29,25.6,Urban,57.47
66.29,960.8,43.1,27.4,Highway,290.71
21.56,662.1,27.9,25,Rural,70.37
70.64,2406.6,72.2,21.4,Urban,136.22
41.74,1568.6,21.4,33.6,Urban,35.74
93.99,2066.6,38.9,31.9,Urban,114.13
18.06,2319,31.1,28.9,Urban,14.39
37.4,2198.3,75.9,17.9,Urban,90.85
15.78,1676.3,60.2,38.9,Highway,58.38
92.85,1469.7,74.7,20.2,Urban,343.65
88.35,1439.9,78.3,18.4,Urban,328.5
29.5,2100.1,49.8,33.7,Urban,45.69
67.7,1737,34.1,27,Rural,120.09
82.64,2622.8,31.6,16.8,Highway,93.22
57.74,2686.8,33.4,25.7,Rural,49.24
55.32,926.4,62.5,38.2,Urban,208.88
27.98,840.6,22.4,33.5,Rural,57.89
13.84,2076,23.1,25.9,Urban,12.12
90.24,1253.1,,20.8,Urban,286.62
90.54,546.4,58.5,34,Highway,597.22
65.14,2721.6,59.9,41.6,Highway,115.63
37.21,1067.3,42.3,34.4,Rural,107.01
38.17,2823.2,,39.4,Highway,67.64
73.97,2293.6,52,30.6,Urban,114.54
90.23,2406.6,26.3,36.5,Urban,41.96
89.27,1003.7,67.8,41.9,Urban,328.95
79.09,1085.5,77.2,38.2,Urban,308.31
65.99,1803.2,23.6,42.3,Highway,78.07
12.99,930.2,43.5,,Highway,30.26
20.35,1263.6,49.3,42.1,Rural,66.74
90.36,1303.7,28.8,33.6,Highway,201.24
62.61,899.1,72.1,41.1,Highway,405.27
5.87,1013,37,16.2,Urban,20.69
14.64,2471.4,67,34.7,Urban,24.7
68.03,918,60.3,40.4,Rural,292.45
5.48,571.1,55.9,20.2,Rural,12.56
20.28,2073.4,31.5,,Urban,19.45
57.13,2940,33.2,39.7,Rural,38.75
70.73,1328,22.8,23.6,Highway,150.91
66.94,796.6,34.4,27.2,Rural,220.81
,1926,40.7,32.1,Urban,32.61
72.66,2765.9,70,30.6,Highway,133.69
27.54,2460.2,42,16.2,Urban,30.52
35.91,2056.3,65.3,18,Highway,133.3
75.92,1287.6,46.4,18,Urban,181.15
66.72,1854.7,67.1,22.9,Urban,172.82
85.68,728.1,78.6,22.4,Highway,731.04
67.47,2197.4,34.4,37.3,Urban,56.22
58.99,2312.7,71.7,32.2,Highway,199.75
13.9,2912.6,57.3,37.9,Highway,19.82
39.93,1151,69,,Rural,208.34
30.19,546.1,59.1,29.6,Urban,129.15
28.18,1864,45.4,24.7,Urban,59.53
97.44,2267,33.7,40.5,Urban,93.18
,2476,24.2,36.2,Urban,23.5
89.74,984.3,52.1,41.1,Highway,411.46
64.96,1154.4,79.4,16.4,Urban,247.36
80.51,1781.5,64.3,36.6,Urban,190.04
52.75,1326.5,39.6,31.2,Urban,100.33
,2651.3,69.6,39.8,Urban,74.16
51.79,1684.4,66.1,30.2,Rural,187.1
23.55,2498.9,36.9,31.2,Rural,36.58
73.63,1951.5,20.9,16.6,Highway,82.13
31.67,2432.7,27.1,35.1,Urban,31.61
7.31,1331.7,72.6,23.2,Rural,28.06
66.32,2578.5,,15.6,Rural,123.53
21.83,1186.4,37.7,17,Rural,51.59
,1865.2,37.1,43.7,Highway,188.86
95.62,1035,67.6,25.4,Urban,408.53
91.91,1688.8,76.3,41,Urban,263.46
40.17,1295.4,66.7,43.8,Rural,156.86
6.47,1166.8,56.3,43.3,Rural,15.73
93.19,2917.5,34.6,41.5,Urban,36.61
45.68,900.2,,41.8,Urban,129.38
96.83,2468.3,34,23.7,Highway,137.53
96.54,2960.4,68.5,19.5,Rural,110.9
86.04,549.8,43.2,34.2,Highway,425.03
32.97,2247.6,70,29.6,Highway,117.63
41.58,1132.3,42.9,18,Urban,86.69
85.86,601.2,69.4,35.3,Urban,386.5
35.11,1507.2,40,31.9,Highway,103.18
21.1,2838,46.4,,Rural,23.38
57.9,529.4,56.9,33.3,Urban,225.39
93.93,1969.7,24.2,32.2,Urban,92.01
71.12,1753.5,,28.2,Highway,377.86
59.16,2683.5,54.4,28.9,Urban,61.21
14.23,710,50.5,43.6,Highway,57.36
63.43,2203.8,70.4,19.2,Highway,226.77
99.06,2200.3,71.9,28.4,Highway,357.23
18.31,2172.7,51.3,34.7,Rural,40.74
,2855.8,75.6,28,Urban,63.5
88.35,2557.7,23.9,23.5,Highway,83.21
,604.9,26.8,23.6,Urban,152.03
71.22,1677.7,55.8,22,Rural,236.4
71.74,1494.9,41.2,25.3,Rural,184.19
39.15,1275.4,47.9,41.2,Urban,81.84
32.89,1628.3,39.7,30.2,Urban,57.12
,1460.5,44.3,22.2,Urban,176.51
81.96,1580.8,69.4,26.5,Highway,445.97
87.37,2948.2,55.6,18.2,Urban,78.67
91.76,721.6,79.8,42.1,Highway,703.74
53.58,2805.6,67.2,27.2,Highway,105.71
52.64,1700.6,36.4,44.4,Highway,95.7
80.84,2059.4,35.9,25.4,Rural,146.26
66.75,2575.5,40.2,40.1,Urban,81.17
71.69,1401.2,70.6,22.7,Rural,359.4
80.6,1576.1,21.6,17.3,Urban,72.89
89.55,1523.8,33.8,16,Urban,158.89
37.11,1436.8,74.3,33.2,Urban,130.83
40.68,2813.8,58.4,24.3,Highway,70.52
13.93,2572.3,33.6,28.3,Urban,7.82
59.94,772.5,33.1,39.6,Highway,189.62
8.41,770.3,71.8,22.4,Urban,17.66
,1569.7,73.6,24.3,Rural,239.38
,746.6,35.4,40.4,Highway,191.33
32.22,2047.7,45.2,29.8,Highway,82.02
61.13,859.2,70.1,39.8,Rural,324.12
7.9,1805.9,66.3,,Highway,32.38
8.55,518,68.8,27,Urban,45.61
83.15,1291.5,51.1,20,Urban,234.9
39.22,2193,74.7,42.5,Highway,135.68
17.07,1710.1,39.6,41.9,Urban,23.6
54.61,2945.7,29.4,44.5,Urban,16.68
78.15,2685.3,,27.1,Urban,99.4
25.5,1397.7,,39.6,Highway,91.64
64.17,613.7,71.3,27.4,Urban,324.3
13.11,2614.1,24.9,28.6,Urban,13.82
9.91,2778.1,70.6,39.9,Urban,11.62
55.48,2551.6,37.6,20.3,Highway,74.32
56.36,819.9,59.3,21.6,Highway,357.66
65.56,2994.8,22.4,24.4,Highway,37.25
73.98,1146.5,56.6,38.6,Urban,201.86
97.71,2310.5,63,26.2,Rural,232.98
54.05,2770.1,42.1,25.7,Urban,25.16
35.68,1089.2,32.9,45,Highway,94.67
80.54,2770.6,52.3,26.5,Rural,109.5
30.73,1273.7,70,22.4,Rural,168.8
46.7,2941,39.4,33.7,Highway,54.61
12.45,1203.2,35.1,39.1,Rural,21.83
7.41,2883.6,36.7,17.1,Highway,8.93
96.45,633.9,76.9,33.6,Urban,481.72
84.42,2273.2,41.6,16.1,Urban,114.6
71.12,1830.3,20.2,30.8,Highway,107.18
43.85,1694.7,66.9,22.7,Highway,217.27
21.46,1058.7,62,24.2,Urban,74.36
19.86,2264,,29,Rural,-12.72
28.77,977,79.1,42.8,Urban,103.65
57.18,1882.1,56.5,36.3,Urban,97.38
72.89,1133.1,50,43.1,Urban,162.16
67.72,2889.1,42.9,34.8,Rural,72.15
31.59,571.6,73.9,15.2,Rural,192.6
95.71,999.3,34.6,23,Highway,327.54
75.1,1105.8,37.1,42.2,Rural,174.91
57.66,1535.2,27.3,34.3,Rural,119.49
63.11,1081.8,65.5,44.4,Rural,267.94
,1728.4,,19.7,Urban,114.74
28.53,2681.2,56.5,23.9,Highway,56.14
38.82,2280.2,33.1,25.9,Urban,18.99
77,1949.9,59.1,24.8,Rural,249.99
6.37,722.5,65.9,22.6,Rural,41.94
16.03,2235,41.5,28.3,Highway,32.69
9.37,916,68.1,34.3,Urban,54.99
8.87,2465.9,40.9,24.3,Urban,5.85
86.27,1125.1,65.5,17.4,Urban,308.55
71.85,1542.6,22,36.3,Urban,65.16
,1376.2,53.1,28.8,Highway,237.01
14.29,2647,78.2,31.7,Urban,30.37
51.7,816.4,78.9,28.7,Rural,354.18
49.98,1914.1,36.9,41.7,Urban,50.39
,855.2,46.5,31.8,Rural,78.25
46.22,2262,23.8,42.7,Highway,36.18
42.86,2762.7,72.4,30.3,Urban,65.77
63.51,1586.5,54.1,23.8,Urban,146.64
65.33,1720.2,43.1,25.7,Rural,181.82
9.3,2818.6,26.8,30.7,Highway,19.55
40.59,1802.5,76.8,30.9,Urban,115.3
,1719,51.8,35.6,Urban,128.75
52.8,1945.8,37,21.7,Highway,115.21
86.37,2223.1,41,34.8,Urban,106.27
67.58,767.2,36.2,38.4,Urban,158.87
20.48,2552.8,56.1,35.3,Highway,52.53
11.7,1588.8,75.8,29.5,Highway,63.12
,680.9,71.4,44.8,Urban,279.03
7.52,2465.5,47.6,27.1,Rural,23.8
60.65,1442.4,69.6,18.2,Highway,335.4
94.32,750.9,45.4,39.6,Rural,335.01
59.67,2084.4,35.1,21.4,Urban,86.87
41.88,2700.3,79,36.4,Urban,69.19
66.11,2719.4,38.2,20.4,Urban,59.26
48.53,2894.2,39.4,15.5,Urban,52.06
56.83,2669.3,79.4,19.8,Rural,123.92
94.44,505.4,28,26.3,Rural,263.78
41.68,1450.6,65.6,18.2,Highway,231.18
96.31,2546.4,,20.9,Highway,299.15
91.01,1415.6,50.7,37.9,Highway,342.93
23.6,2003.9,,38.1,Highway,23.81
11.59,2015.8,42.5,39.5,Urban,5.44
14.57,1412.6,26.7,40.2,Highway,32.12
6.73,2761.2,45,27.6,Highway,17.97
13.97,1758.1,67.4,41,Urban,24.95
69.89,1662,46.3,30.8,Urban,151.4
11.76,2993.8,45.9,29.1,Urban,2.02
35.3,1733.8,53.4,36.6,Highway,117.28
,946,54.9,21.4,Urban,299.41
7.21,1782.7,71.4,38.7,Highway,25.54
82.37,2535,38.5,27.9,Urban,60.25
31.78,2442.2,69.3,18.8,Urban,62.07
16.23,2471.5,54,18.6,Rural,26.81
71.19,2270.1,38,19.9,Highway,143.54
64.75,1135.5,37.7,41.7,Urban,128.53
88.36,2655.2,41.7,44.7,Rural,65.84
74.83,2733.6,57.4,25.7,Urban,94.88
81.33,985.4,33.8,23.8,Rural,246.65
31.79,826.1,75.2,21.6,Highway,267.62
21.86,2939,54.5,39.7,Urban,24.99
76.31,2670.8,75.2,21.3,Highway,188.45
81.65,2733.1,22.8,42.7,Urban,24.61
99.1,2715.9,40.6,35,Urban,73.11
44.2,1854.2,21.4,41.9,Urban,41.54
40.34,2116,36.3,31.6,Urban,56.27
78.76,1863.4,71.7,35.7,Highway,339.5
,628,22.2,33.6,Rural,67.22
93.42,2363.8,46.2,39.9,Rural,124.2
86.55,1763.3,27.1,40.1,Urban,92.93
45.75,2119.3,45,32.7,Highway,105.42
76.33,1756.6,70.3,34,Urban,209.82
76.68,1729.5,57.4,,Highway,284.5
14.8,929.5,64.2,42.9,Rural,72.82
90.74,1196.8,40.9,34.9,Urban,195.77
53,897.1,76.7,15.2,Rural,326.44
83.51,989.2,62.6,18.1,Rural,421.54
35.4,2932.4,45.3,40.7,Highway,15.8
90.07,882.8,45.6,17.5,Highway,408.64
41.97,1173.2,75.1,21.4,Highway,292.26
6.03,1976.5,54.6,21.9,Rural,6.42
91.01,2025.4,62.4,33,Highway,318.36
13.67,884.9,45,32.3,Urban,21.77
35.33,2484.3,33.4,23.7,Highway,58.51
,2463,63.4,21.2,Urban,145.45
95.31,1093.3,56.5,37.9,Rural,378.28
59.48,1221.7,50.1,43.1,Rural,185.86
65.02,2845,57.4,16.6,Highway,98.87
47.6,2564.2,32.5,19,Highway,32.09
32.86,2244.5,67.6,34.3,Rural,88.82
36.22,705.6,76.9,39.1,Urban,164.4
68.89,1545.7,,38.7,Highway,359.89
76.48,1898.3,39.3,36.6,Urban,94.6
80.2,968.5,,41.6,Highway,317.39
80.01,1620.6,68.5,21.5,Urban,261.48
13.66,2002.6,55.7,18.2,Highway,46.14
51.97,1318.4,52.9,33.5,Urban,130.02
10.47,2452.4,75.6,39.7,Urban,10.95
57.21,2601.1,52.2,32.5,Urban,67.84
46.95,1309,50.9,43.9,Urban,111.86
89.33,2596.6,22.5,38.9,Urban,42.65
38.34,758.9,24.2,36,Highway,93.94
16.12,2594.3,20.4,16.8,Highway,13.42
18.58,881.9,74.8,18.2,Urban,84.13
77.34,707.3,44.5,38.5,Highway,342.6
,2104.4,48.1,,Highway,178.52
14.61,1679.8,70.7,15.9,Urban,45.83
,2769.7,56.6,,Urban,24.01
71.59,1408,56.6,41.7,Highway,305.38
11.91,1217.9,,21.6,Urban,27.59
83.08,1751.8,70,38.4,Urban,226.07
72.09,1639.9,29.9,16.4,Rural,112.58
12.73,1361.1,23.2,23.6,Highway,25.18
13.06,2234.4,31.5,33.7,Urban,15.31
98.73,2398.9,36.1,37.9,Highway,126.6
40.56,2632.5,36.9,15.3,Rural,43.37
40.21,2932.1,60.2,,Rural,36.14
82.22,1166.6,33.1,21.4,Urban,144.55
94.99,2290.2,60.6,45,Urban,133.99
98.67,1485.6,25.5,35.1,Highway,189.55
76.57,2192.7,28.8,27.2,Urban,57.21
40.74,1690,50.5,17.3,Rural,123.14
12.93,2984.4,75.3,33,Urban,13.32
,2322.3,71.6,34.3,Urban,169.98
58.05,2881.2,78.1,39.5,Rural,82.96
45.3,2587.4,59,23.7,Urban,65.89
91.1,2757.3,60.5,44.4,Urban,73.94
15.56,2536,,28.2,Highway,22.97
51.8,1647.9,57.4,23.9,Urban,142.35
6.08,1129.5,28.8,25.5,Highway,6.28
49.52,1425.8,52.6,30.6,Urban,133.92
10.35,550.6,43.2,43.1,Urban,44.07
16.29,1810,46.6,37.1,Urban,37.65
16.16,1762.6,,32.3,Highway,61.45
66.67,1813.1,27.7,19.9,Urban,76.61
75.87,2935.1,41.6,19.5,Urban,38.28
60.42,2778.6,23.8,30.1,Rural,31.67
96.41,904.3,78.8,36.9,Rural,573.45
40.61,1422.2,27.1,37.5,Highway,70.21
32.14,1559.9,,21.8,Urban,53.92
87.52,1401.3,73.5,18,Highway,534.22
26.24,2496.2,49,26.5,Highway,40.08
96.51,1810.1,28.1,42.5,Rural,140.01
6.15,1930.2,,31.4,Rural,25.15
,2632.5,27,24.6,Rural,79.51
9.1,2514.8,32,24.7,Rural,13.58
89.66,830.5,23.1,19,Urban,128.07
55.13,2284.8,46.3,29.2,Highway,124.23
,1588.6,68.4,38.7,Rural,368.94
12.01,1236.6,55.2,44.1,Rural,40.78
57.62,625,56.4,30,Rural,297.26
97.08,1718.1,32,20,Highway,237.93
54.69,1388.6,40.6,35.5,Highway,180.49
64.79,1128.8,70.7,37.7,Urban,234.96
71.1,2236.7,25.3,17.2,Highway,86.31
48.18,2423.7,71.5,40.5,Urban,71.19
64.62,1112,49,39.9,Rural,209.01
60.51,623.6,70.2,29.2,Rural,399.28
90.61,2621.9,39.1,31.8,Highway,115.87
9.32,524.9,40.3,36.4,Urban,18.58
31.69,2842.8,65.1,35.3,Urban,24.48
95.29,2069,67.1,15.5,Highway,337.73
89.58,1304.6,33.8,18.7,Urban,166.98
,1116.2,78.4,19.9,Urban,215.54
63.91,522.5,25.1,37.7,Rural,136.17
31.35,1088.7,24.1,28.2,Urban,44.38
22.87,844.3,55.7,31.4,Urban,81.33
49.05,2030.4,,38.2,Highway,157.81
38.57,916.4,77.7,25.2,Rural,243.68
60.45,1821.6,44.3,37.5,Rural,144.48
12.38,1975.3,21.5,28.3,Rural,22.96
97.57,1245.1,56.2,26.3,Highway,512.27
98.69,587.7,37.4,25,Urban,277.92
71.33,593.1,46,43.9,Rural,276.99
55.93,565.9,49.3,38.2,Urban,170.21
34.41,2347.8,23.9,15.6,Urban,10.26
82.31,1295,49.2,43.7,Urban,188.11
70.05,2490.8,45.6,38.3,Rural,78.5
20.45,1579.3,62.8,,Rural,78.08
91.54,1632.5,58.7,17.3,Urban,228.57
83.14,1782.2,31.1,24.2,Urban,116.89
95.23,2282.6,32.4,33.7,Rural,109.49
73.94,1183.8,35.1,33.5,Urban,149.5
63.27,804,30.7,23.3,Highway,207.02
44.73,1890.1,59.4,28.4,Urban,110.36
93.61,1317.4,79.7,21.4,Urban,385.77
87.28,1606.2,59.1,16.5,Urban,228.94
9.3,2117.4,,30.5,Urban,6.99
7.5,1735.3,44.6,,Highway,24.26
40.76,2050.7,38.8,31.3,Rural,84.81
82,1860.5,74.7,43.4,Urban,206.02
,2349.5,78.1,19.3,Rural,290.85
19.29,2264.8,49.8,15.1,Highway,44.28
61.44,1835.5,,17.3,Urban,83.21
41.18,2197.3,66.2,28.9,Highway,143.92
97.14,2683.9,27.9,36.2,Highway,88.02
85,1580.7,65.9,32.4,Urban,229.83
84.64,1531.9,69.1,29.8,Urban,279.18
49.53,2410.6,27.5,25.6,Rural,39.77
44.41,1956.4,78.6,24.3,Highway,211.05
30.97,677.5,79.1,26.3,Urban,176
10.36,2730.3,76.2,33.3,Urban,27.31
87.15,577,49.8,20,Urban,303.46
82.23,2371,34.8,,Urban,56.63
99.97,2397,54.9,32.3,Urban,133.59
99.68,2882.8,45.2,23.1,Urban,64.02
57.77,635.3,32.4,30,Urban,129.31
78.05,1992.1,45.4,43.9,Highway,179.84
94.75,1569.6,59.8,15.6,Urban,252.69
85.72,1326.6,24.3,21,Urban,118.65
28.5,725.8,40,28.5,Urban,79.74
47.8,1906.6,,34.2,Urban,45.46
17.27,1697.6,65,21.4,Urban,46.06
95.63,761.4,58.4,42.9,Highway,556.16
62.59,2031.2,23.8,34.3,Urban,55.14
,2344.9,77.9,41.3,Urban,57.15
68.81,2418.2,21.4,24.9,Rural,70.62
63.72,2763.4,55.4,39.9,Highway,93.08
39.03,1523.7,,26.3,Urban,120.31
15.79,2882.7,67.3,22.6,Urban,29.07
68.8,2663.6,22.1,42.3,Rural,48.71
54.43,1241.3,74.4,17.8,Rural,284.48
78.37,898.2,75.1,43.3,Urban,330.37
54.42,1588.5,53.7,28.8,Urban,133.51
85.96,1504.7,48.9,44.8,Urban,177.48
57.43,1939.3,22.7,31.2,Urban,62.87
58.29,1958.5,53.7,37.7,Urban,106.29
88.28,2375,44.6,15.2,Highway,171.04
43.33,1774.7,66.4,29.9,Urban,128.28
17.73,762.1,,37.1,Urban,43.49
7.73,2645.7,61,38.5,Highway,6.38
76.74,1274.4,26.1,19.7,Rural,154.04
63.93,2928.2,28,27.6,Urban,27.99
71.89,794.7,28.4,27.6,Highway,219.1
25.23,2895.6,22.7,18.1,Urban,9
17.96,727.5,52.5,28.3,Urban,68.28
6.38,1077.6,67.6,39.2,Rural,14.19
38.31,616.4,56.6,,Urban,161.91
61.04,2262.8,54.5,28,Highway,170.43
42.26,2625.7,60.8,43.8,Urban,62.15
46.56,1585.2,40.4,16,Urban,79.75
90.9,2821.3,41.7,32.7,Highway,112.71
38.08,1975.7,,37.3,Urban,49.06
,2075,62.7,37.8,Urban,106.24
79.45,2613.5,29.7,36.5,Highway,79.95
,1242,20.8,36.8,Urban,65.12
64.1,1385.7,55.8,16.8,Urban,161.16
86.92,2764.9,76.5,31,Highway,196.4
95.2,2752.4,56.6,38.5,Urban,87.53
18.97,2941.2,,17.8,Highway,27.18
93.03,2754.6,60.4,15.4,Rural,132.04
51.75,818.4,49.8,39.4,Urban,158.95
29.53,2559.3,63.1,36.4,Urban,44.14
48.62,1524.6,69.4,27.4,Highway,283.41
98.1,2977,33.5,43.2,Urban,32.64
51.8,1680.7,40.2,38,Highway,136.85
36.23,1884.6,33.4,44,Urban,29.58
65.17,1824.4,47.1,42.9,Urban,125.39
